芝加哥小熊,3,0,0,1,0,0,0,0,0,4,10,0
亞歷桑那響尾蛇,0,0,0,1,0,0,1,0,0,2,4,1
波士頓紅襪,0,0,0,0,0,0,0,0,0,0,7,1
多倫多藍鳥,2,0,0,0,0,0,0,1,x,3,7,0
坦帕灣光芒,0,0,0,1,2,0,0,0,0,3,8,0
巴爾的摩金鶯,0,4,0,0,0,0,0,1,x,5,11,1
明尼蘇達雙城,0,0,0,0,2,1,0,0,0,3,11,1
堪薩斯皇家,0,0,0,0,1,0,0,2,1,4,7,2
德州遊騎兵,0,0,0,0,1,0,0,0,0,1,7,1
洛杉磯天使,0,0,2,0,0,0,1,0,x,3,7,0
奧克蘭運動家,0,0,0,0,0,0,1,0,1,2,5,1
西雅圖水手,0,0,0,0,1,0,0,0,0,1,6,0
休士頓太空人,1,0,0,0,1,0,0,0,0,2,3,1
密爾瓦基釀酒人,2,0,0,1,0,0,0,0,x,3,6,1
匹茲堡海盜,0,1,0,0,0,0,0,0,0,1,9,0
辛辛那提紅人,0,0,0,0,0,1,0,0,1,2,10,0
費城費城人,0,0,1,0,0,2,0,1,1,5,9,0
紐約大都會,0,0,0,0,0,2,0,0,0,2,4,0
聖路易紅雀,0,0,4,0,0,1,0,2,5,12,10,1
亞特蘭大勇士,1,0,0,3,1,1,0,0,1,7,11,0
邁阿密馬林魚,1,0,0,0,0,0,0,0,1,2,7,0
華盛頓國民,1,0,0,0,0,0,3,0,x,4,11,0
洛杉磯道奇,5,0,0,1,0,0,0,0,0,6,10,0
舊金山巨人,2,0,3,1,0,3,0,0,x,9,12,0
聖地牙哥教士,0,1,1,0,0,0,0,1,0,3,8,0
科羅拉多落磯山,2,0,0,0,1,0,1,2,x,6,9,1
芝加哥小熊,0,2,0,1,0,1,2,1,0,7,12,0
亞歷桑那響尾蛇,0,0,0,2,1,0,0,0,0,3,8,0
巴爾的摩金鶯,0,0,5,0,0,1,0,0,3,9,9,2
波士頓紅襪,3,0,0,2,0,1,0,0,1,7,11,0
芝加哥白襪,0,1,0,2,0,0,0,0,1,4,9,0
明尼蘇達雙城,0,0,0,1,0,0,0,0,0,1,6,1
堪薩斯皇家,0,0,0,0,0,0,0,2,0,2,11,0
休士頓太空人,3,0,0,3,0,1,0,1,x,8,14,0
洛杉磯天使,0,0,0,0,0,3,0,1,0,4,9,0
奧克蘭運動家,0,0,0,0,0,0,0,0,1,1,10,0
德州遊騎兵,0,1,1,1,0,0,1,3,0,7,14,0
西雅圖水手,1,0,0,0,0,0,0,2,0,3,7,0
匹茲堡海盜,1,2,1,1,2,0,0,0,0,7,17,1
底特律老虎,0,1,0,0,1,2,0,0,0,4,6,0
聖地牙哥教士,0,0,2,1,0,0,1,0,0,4,6,0
費城費城人,0,0,0,1,1,1,0,0,0,3,8,0
密爾瓦基釀酒人,0,0,0,0,0,0,1,0,0,1,6,1
聖路易紅雀,3,2,4,0,0,0,1,0,x,10,19,0
亞特蘭大勇士,2,2,0,0,0,0,0,0,0,4,8,1
華盛頓國民,3,0,1,0,1,0,1,0,x,6,11,0
邁阿密馬林魚,0,7,1,0,0,2,0,0,0,10,15,1
紐約大都會,0,0,0,3,0,0,0,0,0,3,7,0
辛辛那提紅人,1,0,1,1,0,0,0,0,0,3,7,1
芝加哥小熊,0,0,0,0,0,0,2,3,x,5,3,0
紐約洋基,0,1,0,0,0,1,1,0,0,3,7,1
多倫多藍鳥,0,0,2,0,0,0,0,0,0,2,3,1
巴爾的摩金鶯,0,0,0,2,0,3,4,0,0,9,11,0
波士頓紅襪,2,0,0,0,2,0,0,1,0,5,10,0
克里夫蘭印地安人,0,0,0,1,0,0,0,0,0,1,5,0
坦帕灣光芒,0,0,0,0,0,0,1,4,x,5,5,0
堪薩斯皇家,3,0,0,0,0,0,0,0,0,3,7,0
休士頓太空人,2,0,0,0,0,0,0,0,0,2,7,0
洛杉磯天使,0,1,0,0,0,0,0,2,2,5,10,1
奧克蘭運動家,1,0,2,0,0,0,1,0,0,4,7,0
德州遊騎兵,0,0,5,0,0,1,2,0,0,8,12,1
西雅圖水手,0,0,0,0,0,0,0,0,0,0,4,0
匹茲堡海盜,0,0,0,0,0,2,0,0,0,2,5,1
底特律老虎,2,2,0,0,0,3,1,0,x,8,14,1
亞歷桑那響尾蛇,0,0,0,0,0,0,1,1,2,4,9,0
洛杉磯道奇,0,1,0,0,0,0,0,0,1,2,9,1
亞特蘭大勇士,0,0,0,0,0,0,0,0,1,1,6,0
華盛頓國民,0,0,0,0,0,0,0,2,x,2,8,1
聖地牙哥教士,0,0,0,0,0,0,0,0,0,0,4,2
費城費城人,0,0,0,0,0,1,0,2,x,3,4,1
邁阿密馬林魚,0,0,0,1,0,0,0,1,0,2,9,0
紐約大都會,1,0,0,0,0,0,0,0,0,1,6,0
舊金山巨人,0,0,1,0,2,2,0,2,0,7,13,1
科羅拉多落磯山,0,1,0,0,1,0,0,0,0,2,7,0
洛杉磯天使,0,0,1,0,1,0,0,1,2,5,11,1
奧克蘭運動家,0,0,0,0,0,0,0,1,0,1,3,0
德州遊騎兵,0,1,0,0,0,0,1,0,0,2,6,3
西雅圖水手,0,1,0,1,0,0,0,0,2,4,8,1
紐約洋基,0,0,0,0,1,0,0,1,0,2,8,1
多倫多藍鳥,0,1,0,0,2,0,0,4,x,7,10,0
巴爾的摩金鶯,0,0,2,0,0,0,0,0,0,2,9,0
波士頓紅襪,0,0,2,2,0,0,0,0,x,4,8,0
克里夫蘭印地安人,0,0,0,3,0,0,0,1,0,4,5,0
坦帕灣光芒,0,0,0,0,0,0,0,1,0,1,5,2
